Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
3,1.064090902218595e-05,3.413801600806481e-06,1.710573269519955e-05,8.265885298897047e-06
4,1.7976202252611982e-05,5.564389666980585e-06,2.8537580874399282e-05,1.406916999258101e-05
5,2.2821023594588042e-05,6.84644850549892e-06,3.5870150895789266e-05,1.7853710232884623e-05
6,2.5958769765566102e-05,7.5837123222360574e-06,4.048230402986519e-05,2.0342738935141824e-05
7,2.794942120090127e-05,7.981466406729348e-06,4.330661249696277e-05,2.1973082766635343e-05
8,2.9170094785513355e-05,8.165751636856378e-06,4.494927998166531e-05,2.3032178432913497e-05
9,2.987289262819104e-05,8.2150138138681e-06,4.580686436383985e-05,2.370858237554785e-05
10,3.0227881507016718e-05,8.178111473273885e-06,4.614114004652947e-05,2.412841968180146e-05
11,3.0350746965268626e-05,8.08734364553963e-06,4.61300733149983e-05,2.437574767100159e-05
12,3.0320872247102672e-05,7.963317867122743e-06,4.5893684728071094e-05,2.45075916609494e-05
13,3.0192171470844188e-05,7.820373470858634e-06,4.5514709199778736e-05,2.456231231917627e-05
14,3.0002687344676816e-05,7.668117300115239e-06,4.505102333496325e-05,2.4565437342971563e-05
15,2.9778162206639537e-05,7.513188931930752e-06,4.454249210539274e-05,2.453336855978705e-05
16,2.953626317321323e-05,7.359672112780565e-06,4.40155272372067e-05,2.4390596081502736e-05
17,2.928881294792518e-05,7.2107294390667394e-06,4.3488962546689436e-05,2.4247903638752177e-05
18,2.9044102848274634e-05,7.06805049396061e-06,4.2974828829756007e-05,2.4110917365760542e-05
19,2.8807246781070717e-05,6.932739017846919e-06,4.2480885895201936e-05,2.3982356651686132e-05
20,2.8581719379872084e-05,6.8051303671852275e-06,4.201167757855728e-05,2.3865251932875253e-05
21,2.8369419669616037e-05,6.6858638034072576e-06,4.1570583562133834e-05,2.3759244868415408e-05
22,2.8171439771540464e-05,6.574495030844019e-06,4.1158073145197704e-05,2.3664777472731657e-05
23,2.798834138957318e-05,6.471000490886008e-06,4.077481935382821e-05,2.3581504137837328e-05
24,2.781971561489627e-05,6.375075843052996e-06,4.0419978176942095e-05,2.3508826416218653e-05
25,2.7665736706694587e-05,6.28622195067299e-06,4.009286567452364e-05,2.3446100385626778e-05
26,2.7525795303517953e-05,6.203921645195564e-06,3.979200482717715e-05,2.3393158699036576e-05
27,2.7399451937526464e-05,6.127993282340208e-06,3.951662438339554e-05,2.33487971854629e-05
28,2.7285802934784444e-05,6.058046669610278e-06,3.92651381844189e-05,2.3311838958761655e-05
29,2.7184318969375455e-05,5.993077129262235e-06,3.903517063008621e-05,2.328299160581082e-05
30,2.709434484131634e-05,5.933252415135753e-06,3.882640157826245e-05,2.3260492525878362e-05
31,2.7014998704544268e-05,5.877981296043327e-06,3.8636808312730864e-05,2.3243856048793532e-05
32,2.69458229013253e-05,5.8266932745963845e-06,3.846484105451964e-05,2.3233073079609312e-05
33,2.6886067280429417e-05,5.779490987735782e-06,3.831003778032027e-05,2.3227394194691442e-05
34,2.6835234166355804e-05,5.735678332352332e-06,3.8170583138708025e-05,2.3226981284096837e-05
35,2.6792865173774772e-05,5.695022481273239e-06,3.8045516703277826e-05,2.3230688384501263e-05
36,2.6758261810755357e-05,5.6573089837522086e-06,3.793379801209085e-05,2.3239257643581368e-05
37,2.673084309208207e-05,5.622264430781758e-06,3.78343065676745e-05,2.325142122572288e-05
38,2.6710311067290605e-05,5.589597586017971e-06,3.774619472096674e-05,2.3267572032636963e-05
39,2.6696003988035955e-05,5.559256192780946e-06,3.766871668631211e-05,2.328656228200998e-05
40,2.668766064743977e-05,5.530931340974286e-06,3.760095569305122e-05,2.326791400264483e-05
41,2.668493543751538e-05,5.504505391936399e-06,3.754240970010869e-05,2.3255517589859664e-05
42,2.668740380613599e-05,5.479899027686942e-06,3.749252573470585e-05,2.3248845536727458e-05
43,2.6694799817050808e-05,5.456918195533036e-06,3.745063077076338e-05,2.3248414436238818e-05
44,2.6706639255280605e-05,5.435289211844867e-06,3.741573527804576e-05,2.3253578547155485e-05
45,2.6722825350589118e-05,5.4150269452138754e-06,3.738772647920996e-05,2.3263881303137168e-05
46,2.674318566278089e-05,5.39585138870895e-06,3.7365942262113094e-05,2.3279253582586534e-05
47,2.6767054077936336e-05,5.378149813624263e-06,3.7350440834416077e-05,2.3298494852497242e-05
