Resolution,BC_a,BC_b,BC_c,BC_d,L2_Error,PDE_Error_Pred,PDE_Error_True
1x,-0.5,0.5,0.0,0.0,2.4119926820276305e-05,0.19020813703536987,0.19020108878612518
1x,-0.5,0.5,0.0,0.0,4.436510062078014e-05,0.19020210206508636,0.19020259380340576
1x,-0.5,0.5,0.0,0.0,1.7454598491895013e-05,0.19020475447177887,0.19020238518714905
1x,-0.5,0.5,0.0,0.0,3.089724850724451e-05,0.19020551443099976,0.19020362198352814
1x,-0.5,0.5,0.0,0.0,1.5650828572688624e-05,0.19020028412342072,0.19020572304725647
1x,-0.5,0.5,0.0,0.0,2.3366768800769933e-05,0.19020473957061768,0.1902022361755371
1x,-0.5,0.5,0.0,0.0,1.7412463421351276e-05,0.19020603597164154,0.19020487368106842
1x,-0.5,0.5,0.0,0.0,4.963727405993268e-05,0.19021651148796082,0.19020399451255798
1x,-0.5,0.5,0.0,0.0,0.00018428207840770483,0.19021202623844147,0.1902083158493042
1x,-0.5,0.5,0.0,0.0,1.4255758287617937e-05,0.1902075558900833,0.190202996134758
1x,-0.5,0.5,0.0,0.0,2.7131456590723246e-05,0.19020317494869232,0.19020339846611023
1x,-0.5,0.5,0.0,0.0,4.284615715732798e-05,0.19019660353660583,0.1902015656232834
1x,-0.5,0.5,0.0,0.0,2.7415271688369103e-05,0.19020599126815796,0.1902027130126953
1x,-0.5,0.5,0.0,0.0,1.6958825654000975e-05,0.19020311534404755,0.19020363688468933
1x,-0.5,0.5,0.0,0.0,1.4096915947447997e-05,0.1902068555355072,0.19020138680934906
1x,-0.5,0.5,0.0,0.0,2.6308025553589687e-05,0.19020485877990723,0.1902018040418625
1x,-0.5,0.5,0.0,0.0,3.483898763079196e-05,0.19020786881446838,0.19019964337348938
1x,-0.5,0.5,0.0,0.0,1.754916229401715e-05,0.19020335376262665,0.19020305573940277
1x,-0.5,0.5,0.0,0.0,1.90476821444463e-05,0.19020739197731018,0.19020380079746246
1x,-0.5,0.5,0.0,0.0,1.3363394828047603e-05,0.19020627439022064,0.19020217657089233
1x,-0.5,0.5,0.0,0.0,1.9370381778571755e-05,0.19020366668701172,0.19020096957683563
1x,-0.5,0.5,0.0,0.0,1.4987738722993527e-05,0.1902078092098236,0.1902024745941162
1x,-0.5,0.5,0.0,0.0,2.0396244508447126e-05,0.19020555913448334,0.19020415842533112
1x,-0.5,0.5,0.0,0.0,1.5939991499180906e-05,0.19020943343639374,0.19020499289035797
1x,-0.5,0.5,0.0,0.0,2.633870462886989e-05,0.19020132720470428,0.19020232558250427
1x,-0.5,0.5,0.0,0.0,5.719935506931506e-05,0.19021278619766235,0.19020302593708038
1x,-0.5,0.5,0.0,0.0,4.034981975564733e-05,0.19020584225654602,0.19020162522792816
1x,-0.5,0.5,0.0,0.0,2.6562940547592007e-05,0.1902068704366684,0.1902017742395401
1x,-0.5,0.5,0.0,0.0,1.3859316823072731e-05,0.19020475447177887,0.19020339846611023
1x,-0.5,0.5,0.0,0.0,3.080815076828003e-05,0.19020463526248932,0.19020256400108337
1x,-0.5,0.5,0.0,0.0,2.0845074686803855e-05,0.190205916762352,0.19020384550094604
1x,-0.5,0.5,0.0,0.0,1.093780156224966e-05,0.19020339846611023,0.19020462036132812
1x,-0.5,0.5,0.0,0.0,2.068210596917197e-05,0.19020335376262665,0.19020439684391022
1x,-0.5,0.5,0.0,0.0,7.380304305115715e-05,0.19021283090114594,0.19020316004753113
1x,-0.5,0.5,0.0,0.0,1.9917742974939756e-05,0.1902005970478058,0.1902020424604416
1x,-0.5,0.5,0.0,0.0,1.2905091352877207e-05,0.1902044713497162,0.19020387530326843
1x,-0.5,0.5,0.0,0.0,1.2228400919411797e-05,0.19020308554172516,0.1902012974023819
1x,-0.5,0.5,0.0,0.0,1.6592633983236738e-05,0.19020290672779083,0.19020327925682068
1x,-0.5,0.5,0.0,0.0,7.39300376153551e-05,0.1902054101228714,0.19020521640777588
1x,-0.5,0.5,0.0,0.0,4.8766502004582435e-05,0.19020596146583557,0.1902039349079132
1x,-0.5,0.5,0.0,0.0,1.288546081923414e-05,0.19020380079746246,0.19020278751850128
1x,-0.5,0.5,0.0,0.0,2.135028080374468e-05,0.19019995629787445,0.19020259380340576
1x,-0.5,0.5,0.0,0.0,2.687599953787867e-05,0.19020551443099976,0.19020193815231323
1x,-0.5,0.5,0.0,0.0,3.191605719621293e-05,0.19020244479179382,0.19020140171051025
1x,-0.5,0.5,0.0,0.0,2.33660848607542e-05,0.19019776582717896,0.1902008056640625
1x,-0.5,0.5,0.0,0.0,2.3725457140244544e-05,0.1902078092098236,0.19020392000675201
1x,-0.5,0.5,0.0,0.0,1.8323686163057573e-05,0.19020581245422363,0.19020326435565948
1x,-0.5,0.5,0.0,0.0,3.1647599826101214e-05,0.1902073621749878,0.19020327925682068
1x,-0.5,0.5,0.0,0.0,3.9423597627319396e-05,0.19020560383796692,0.19020240008831024
1x,-0.5,0.5,0.0,0.0,1.8918120986199938e-05,0.19020695984363556,0.19020284712314606
1x,-0.5,0.5,0.0,0.0,6.331307668006048e-05,0.19020962715148926,0.1901993602514267
1x,-0.5,0.5,0.0,0.0,4.802976764040068e-05,0.19021974503993988,0.19019998610019684
1x,-0.5,0.5,0.0,0.0,1.5053702554723714e-05,0.1902119517326355,0.19020335376262665
1x,-0.5,0.5,0.0,0.0,2.3519127353210934e-05,0.1902012825012207,0.19020088016986847
1x,-0.5,0.5,0.0,0.0,3.893631583196111e-05,0.19019517302513123,0.19019876420497894
1x,-0.5,0.5,0.0,0.0,1.1786113645939622e-05,0.19020234048366547,0.19020269811153412
1x,-0.5,0.5,0.0,0.0,6.327763549052179e-05,0.19020198285579681,0.19020108878612518
1x,-0.5,0.5,0.0,0.0,2.696541378099937e-05,0.19020453095436096,0.19020220637321472
1x,-0.5,0.5,0.0,0.0,2.4934231987572275e-05,0.19021326303482056,0.19020508229732513
1x,-0.5,0.5,0.0,0.0,4.305429683881812e-05,0.19020667672157288,0.19019995629787445
1x,-0.5,0.5,0.0,0.0,5.0541006203275174e-05,0.19019553065299988,0.19019992649555206
1x,-0.5,0.5,0.0,0.0,1.8720982552622445e-05,0.19020803272724152,0.1902015209197998
1x,-0.5,0.5,0.0,0.0,1.3879161997465417e-05,0.19020560383796692,0.1902034729719162
1x,-0.5,0.5,0.0,0.0,2.683347338461317e-05,0.19020263850688934,0.19020099937915802
1x,-0.5,0.5,0.0,0.0,1.5095295566425193e-05,0.19020159542560577,0.19020235538482666
1x,-0.5,0.5,0.0,0.0,0.00016292661894112825,0.1902332603931427,0.1902008354663849
1x,-0.5,0.5,0.0,0.0,2.2792986783315428e-05,0.19020795822143555,0.1902036815881729
1x,-0.5,0.5,0.0,0.0,5.284616781864315e-05,0.1901991069316864,0.19020244479179382
1x,-0.5,0.5,0.0,0.0,3.190788993379101e-05,0.19020643830299377,0.19020268321037292
1x,-0.5,0.5,0.0,0.0,0.00015126146900001913,0.19023780524730682,0.19019892811775208
1x,-0.5,0.5,0.0,0.0,3.0608061933889985e-05,0.1902073174715042,0.19020359218120575
1x,-0.5,0.5,0.0,0.0,1.2949177289556246e-05,0.19020874798297882,0.19020353257656097
1x,-0.5,0.5,0.0,0.0,1.3237528946774546e-05,0.19020384550094604,0.1902046799659729
1x,-0.5,0.5,0.0,0.0,4.807774894288741e-05,0.19020186364650726,0.19020068645477295
1x,-0.5,0.5,0.0,0.0,2.1487281628651544e-05,0.19020460546016693,0.19020341336727142
1x,-0.5,0.5,0.0,0.0,6.69789151288569e-05,0.19019736349582672,0.19020627439022064
1x,-0.5,0.5,0.0,0.0,3.908642611349933e-05,0.1902114301919937,0.1902039796113968
1x,-0.5,0.5,0.0,0.0,3.4806871553882957e-05,0.1902059018611908,0.19020332396030426
1x,-0.5,0.5,0.0,0.0,6.176462193252519e-05,0.19021162390708923,0.1902012825012207
1x,-0.5,0.5,0.0,0.0,1.6815405615489e-05,0.19020657241344452,0.19020187854766846
1x,-0.5,0.5,0.0,0.0,4.1427018004469573e-05,0.19021525979042053,0.19020839035511017
1x,-0.5,0.5,0.0,0.0,2.2093388906796463e-05,0.1902100294828415,0.19020211696624756
1x,-0.5,0.5,0.0,0.0,1.840062213886995e-05,0.1902061551809311,0.1902010589838028
1x,-0.5,0.5,0.0,0.0,1.2730592061416246e-05,0.19020523130893707,0.19020089507102966
1x,-0.5,0.5,0.0,0.0,1.7091386325773783e-05,0.19020742177963257,0.19020241498947144
1x,-0.5,0.5,0.0,0.0,1.415659426129423e-05,0.1902024745941162,0.19020333886146545
1x,-0.5,0.5,0.0,0.0,1.3507786206901073e-05,0.19020375609397888,0.19020232558250427
1x,-0.5,0.5,0.0,0.0,1.315524696110515e-05,0.1902063488960266,0.1902022659778595
1x,-0.5,0.5,0.0,0.0,2.5370185539941303e-05,0.19020357728004456,0.1902015209197998
1x,-0.5,0.5,0.0,0.0,7.480451313313097e-05,0.1902090311050415,0.19020140171051025
1x,-0.5,0.5,0.0,0.0,0.0002011792967095971,0.19026190042495728,0.19020232558250427
