Timestep,Mean_L2,Std_L2,Max_L2,Min_L2
3,4.79245395581529e-06,1.1152517374025913e-06,6.842471975687658e-06,3.770016292037326e-06
4,8.071624233707552e-06,1.7143963284052981e-06,1.1194198123121168e-05,6.413265055016382e-06
5,1.0328745338483713e-05,2.028950523910684e-06,1.400279415975092e-05,8.281181180791464e-06
6,1.1930486834899057e-05,2.2005258069802905e-06,1.590798274264671e-05,9.63849470281275e-06
7,1.310051611653762e-05,2.298788185870109e-06,1.7261560060433112e-05,1.0651484444679227e-05
8,1.397480536979856e-05,2.356355215191372e-06,1.825431354518514e-05,1.1422575880715158e-05
9,1.4640270273957868e-05,2.389057174345561e-06,1.899722519738134e-05,1.20201284516952e-05
10,1.515491949248826e-05,2.405806448153264e-06,1.9560884538805112e-05,1.2489440450735856e-05
11,1.5559269741061144e-05,2.411365572168057e-06,1.9992428860859945e-05,1.2864265954704024e-05
12,1.5881824037933256e-05,2.4095578879863017e-06,2.0326415324234404e-05,1.3168249097361695e-05
13,1.6143843458849007e-05,2.4029329585713896e-06,2.058847530861385e-05,1.3419732567854226e-05
14,1.6360705012630204e-05,2.392970873406397e-06,2.0796736862394027e-05,1.3632058653456625e-05
15,1.654392126511084e-05,2.380772003675444e-06,2.0965324438293464e-05,1.381638412567554e-05
16,1.6701817912689876e-05,2.367320487272811e-06,2.110457899107132e-05,1.3979591130919289e-05
17,1.684108028712217e-05,2.353040883102696e-06,2.122234582202509e-05,1.4127925169304945e-05
18,1.6966258226602803e-05,2.338309041965983e-06,2.132446206815075e-05,1.4265754543885123e-05
19,1.708110903564375e-05,2.323220359405226e-06,2.141484583262354e-05,1.4395947800949216e-05
20,1.7188096899189985e-05,2.3081129396743352e-06,2.1497125999303535e-05,1.4521132470690645e-05
21,1.7289502284256742e-05,2.2932524580009333e-06,2.1574187485384755e-05,1.4642830137745477e-05
22,1.7386700528732034e-05,2.2785398288940424e-06,2.1647543690050952e-05,1.4762687897018623e-05
23,1.7480860333307646e-05,2.2638373249476093e-06,2.1717918571084738e-05,1.4881175957270898e-05
24,1.7572911747265608e-05,2.2495129206146263e-06,2.178713293687906e-05,1.4998848200775683e-05
25,1.766353816492483e-05,2.235592258708914e-06,2.1856030798517168e-05,1.5116378563106991e-05
26,1.7753278189047706e-05,2.2220172964558123e-06,2.1924954126006924e-05,1.5233926205837633e-05
27,1.7842553279479035e-05,2.2087263985224397e-06,2.1994317648932338e-05,1.5352110494859517e-05
28,1.7931501497514545e-05,2.1959189847855602e-06,2.2064386939746328e-05,1.547010469948873e-05
29,1.8020686547970398e-05,2.1835954134435436e-06,2.2135876861284487e-05,1.558878102514427e-05
30,1.8110011296812445e-05,2.171706384225039e-06,2.22086764551932e-05,1.570823042129632e-05
31,1.819946955947671e-05,2.160380735772787e-06,2.228277844551485e-05,1.5827698007342406e-05
32,1.8289389481651595e-05,2.1495122024944952e-06,2.235829560959246e-05,1.5947543943184428e-05
33,1.8379768152954058e-05,2.1396142864146054e-06,2.243614108010661e-05,1.6067167962319218e-05
34,1.847074890974909e-05,2.1302066959290103e-06,2.251570731459651e-05,1.6187514120247215e-05
35,1.856238923210185e-05,2.1211098788437875e-06,2.2596397684537806e-05,1.6308165868395008e-05
36,1.8654229643289e-05,2.112542409675207e-06,2.2678301320411265e-05,1.6428679373348132e-05
37,1.8746749628917313e-05,2.1047578345728034e-06,2.2762324078939855e-05,1.6549300198676065e-05
38,1.8839806580217554e-05,2.097406228978592e-06,2.2847700165584683e-05,1.6670177501509897e-05
39,1.893347143777646e-05,2.0905105361488693e-06,2.293433681188617e-05,1.6790963854873553e-05
40,1.9027838789043017e-05,2.084577344700162e-06,2.302352004335262e-05,1.691165925876703e-05
41,1.9122494995826857e-05,2.07900075258981e-06,2.3113481802283786e-05,1.7032094547175802e-05
42,1.9217627777834422e-05,2.0736369288435847e-06,2.320416570000816e-05,1.7152588043245487e-05
43,1.931332917592954e-05,2.069005971710203e-06,2.329668859601952e-05,1.7272725017392077e-05
44,1.9409424203331584e-05,2.0647328060378472e-06,2.3390059141092934e-05,1.739278741297312e-05
45,1.950594632944558e-05,2.061012819355162e-06,2.348485759284813e-05,1.7512680642539635e-05
46,1.960278423212003e-05,2.0576378661487592e-06,2.358036545047071e-05,1.763202999427449e-05
47,1.97000725165708e-05,2.0547379443173383e-06,2.367710112594068e-05,1.7751217455952428e-05
48,1.9797704226220958e-05,2.0520854270843158e-06,2.3774458895786665e-05,1.7870193914859556e-05
49,1.9895593504770658e-05,2.0498347210742847e-06,2.3872727979323827e-05,1.7988975741900504e-05
50,1.9993664682260715e-05,2.048065349504133e-06,2.3971877453732304e-05,1.8107020878233016e-05
51,2.0092272461624815e-05,2.0463151211720365e-06,2.4071485313470475e-05,1.8225449821329676e-05
52,2.0190975556033662e-05,2.045184714661238e-06,2.4172160919988528e-05,1.8342876501264982e-05
53,2.0289670283091253e-05,2.0442661167545314e-06,2.4273047529277392e-05,1.8459675629856065e-05
54,2.03889354452258e-05,2.0435189754843346e-06,2.4374712666030973e-05,1.8576800357550383e-05
55,2.0488145310082473e-05,2.0431939162479123e-06,2.4476868929923512e-05,1.869267907750327e-05
56,2.0587608742062002e-05,2.0429144415432477e-06,2.4579372620792128e-05,1.880902891571168e-05
57,2.068715839413926e-05,2.042860307604455e-06,2.468220191076398e-05,1.8924865798908286e-05
58,2.078703219012823e-05,2.042971710399493e-06,2.478544229234103e-05,1.904011151054874e-05
59,2.088689107040409e-05,2.0434662211568982e-06,2.488931750121992e-05,1.9154967958456837e-05
60,2.0986864183214492e-05,2.04391671220016e-06,2.4993036277010106e-05,1.926936056406703e-05
61,2.1086651759105735e-05,2.044683126387919e-06,2.509706246200949e-05,1.938313289429061e-05
62,2.1186818412388674e-05,2.045552249708066e-06,2.5201534299412742e-05,1.949684701685328e-05
63,2.1286949777277187e-05,2.046648012375036e-06,2.5306322640972212e-05,1.9610111849033274e-05
64,2.138711242878344e-05,2.047654213288405e-06,2.541078720241785e-05,1.9723069272004068e-05
65,2.1487365302164108e-05,2.049066193783931e-06,2.5515973902656697e-05,1.9835200873785652e-05
66,2.1587700757663697e-05,2.050324069900188e-06,2.5620847736718133e-05,1.9947299733757973e-05
67,2.168797582271509e-05,2.051878530303727e-06,2.572612174844835e-05,2.005872011068277e-05
68,2.1788237063447013e-05,2.0535228903041045e-06,2.583145942480769e-05,2.016987491515465e-05
69,2.1888563787797465e-05,2.0552830890772854e-06,2.5936989914043806e-05,2.0280867829569615e-05
70,2.1988915614201686e-05,2.0568945306929755e-06,2.604209294077009e-05,2.039126047748141e-05
71,2.2089171397965402e-05,2.058869358122485e-06,2.6147778044105507e-05,2.0501387552940287e-05
72,2.218963563791476e-05,2.0608533003262644e-06,2.6253535907017067e-05,2.061121085716877e-05
73,2.2289906701189467e-05,2.0630578888428625e-06,2.6359401090303436e-05,2.072026109090075e-05
74,2.2390206140698865e-05,2.0653443778664904e-06,2.6465344490134157e-05,2.0828823835472576e-05
75,2.249045282951556e-05,2.0674612678934642e-06,2.657089862623252e-05,2.0937664885423146e-05
76,2.2590723892790267e-05,2.0697411427424953e-06,2.6676609195419587e-05,2.104576378769707e-05
77,2.2690926562063397e-05,2.0721295641503523e-06,2.6782367058331147e-05,2.115322058671154e-05
78,2.2791161973145792e-05,2.0745957619967733e-06,2.6888292268267833e-05,2.1260833818814717e-05
79,2.289122567162849e-05,2.0771009701871578e-06,2.6993948267772794e-05,2.1367724912124686e-05
80,2.2991395599092358e-05,2.079760984992438e-06,2.709999171202071e-05,2.1474435925483704e-05
81,2.3091505499905907e-05,2.0822926072119526e-06,2.7205658625462092e-05,2.1581201508524828e-05
82,2.3191625223262237e-05,2.084970505347365e-06,2.7311494704918005e-05,2.1687286789529026e-05
83,2.3291812613024377e-05,2.0877051579771913e-06,2.7417432647780515e-05,2.179307193728164e-05
84,2.3391717695631088e-05,2.0903902924487465e-06,2.7522937671164982e-05,2.189884071412962e-05
85,2.3491729734814726e-05,2.093218620675614e-06,2.762875556072686e-05,2.200410199293401e-05
86,2.3591670105815866e-05,2.0960441098886504e-06,2.7734364266507328e-05,2.210887396358885e-05
87,2.369159192312509e-05,2.099014174391948e-06,2.7840234906761907e-05,2.221370959887281e-05
88,2.3791534840711392e-05,2.1019040996646484e-06,2.794586544041522e-05,2.231831240351312e-05
89,2.3891291857580654e-05,2.1048852239579094e-06,2.8051395929651335e-05,2.24223367695231e-05
90,2.3991078705876134e-05,2.108079987211993e-06,2.8157348424429074e-05,2.252623380627483e-05
91,2.4090701481327413e-05,2.111077627525452e-06,2.826263698807452e-05,2.2629526938544586e-05
92,2.419031297904439e-05,2.1141877859345853e-06,2.8368074708851054e-05,2.273267637065146e-05
93,2.428992374916561e-05,2.1172595249454245e-06,2.8473328711697832e-05,2.2835769414086826e-05
94,2.4389562531723642e-05,2.120369027921024e-06,2.857867548300419e-05,2.2938629626878537e-05
95,2.4489120187354273e-05,2.1236261881818474e-06,2.8684153221547604e-05,2.304132067365572e-05
96,2.4588559244875797e-05,2.126738112952598e-06,2.8789178031729534e-05,2.3143727958085947e-05
97,2.468807178956922e-05,2.1300490053836514e-06,2.8894568458781578e-05,2.3245545889949426e-05
98,2.478751957823988e-05,2.133233233233322e-06,2.899958417401649e-05,2.3347163732978515e-05
99,2.4886882238206452e-05,2.136679431229889e-06,2.9105014618835412e-05,2.3448930733138695e-05
100,2.4986209609778598e-05,2.1400079495153084e-06,2.9210117645561695e-05,2.3550390324089676e-05
101,2.508557663531974e-05,2.1433204388815086e-06,2.931511335191317e-05,2.3651737137697637e-05
102,2.5184849073411895e-05,2.146856994111922e-06,2.9420440114336088e-05,2.3743703422951512e-05
103,2.5284105868195182e-05,2.1502634750606875e-06,2.9525412173825316e-05,2.3828666599001735e-05
104,2.538334265409503e-05,2.1537238159046247e-06,2.9630411518155597e-05,2.3913931727292947e-05
105,2.5482450291747226e-05,2.1572123414429653e-06,2.97353199130157e-05,2.3999175027711317e-05
106,2.5581713271094485e-05,2.160803376490939e-06,2.9840524803148583e-05,2.4084480173769407e-05
107,2.5680874387035146e-05,2.1643020226978523e-06,2.9945380447315983e-05,2.4169665266526863e-05
108,2.5779900170164183e-05,2.167981587722381e-06,3.0050374334678054e-05,2.425476850476116e-05
109,2.5878877568175086e-05,2.171536975937577e-06,3.015502261405345e-05,2.4339757146663032e-05
110,2.597782549855765e-05,2.1752699234721074e-06,3.025997466465924e-05,2.4425064111710526e-05
111,2.6076685389853083e-05,2.1789374177654566e-06,3.036468115169555e-05,2.451023283356335e-05
112,2.6175612219958566e-05,2.1825777602006836e-06,3.046934762096498e-05,2.4595385184511542e-05
113,2.6274566698702985e-05,2.186337275651803e-06,3.0574163247365505e-05,2.4680526621523313e-05
114,2.6373350192443467e-05,2.1900332775492578e-06,3.067867146455683e-05,2.476575900800526e-05
115,2.6472270474187098e-05,2.193802415972047e-06,3.078345616813749e-05,2.4851184207363985e-05
116,2.657103250385262e-05,2.1975251069796647e-06,3.08879061776679e-05,2.493629108357709e-05
