time_step,time,test_unseen_mean,test_seen_mean
10,0.5,0.021225028,0.020347375
11,0.55,0.029056607,0.02825808
12,0.6000000000000001,0.021920828,0.021039829
13,0.65,0.029949749,0.02914627
14,0.7000000000000001,0.022679796,0.021797707
15,0.75,0.030871755,0.030063188
16,0.8,0.023478381,0.022595633
17,0.8500000000000001,0.0318221,0.031008245
18,0.9,0.024298506,0.023414314
19,0.9500000000000001,0.03280058,0.031981133
20,1.0,0.025142854,0.024256613
21,1.05,0.033806827,0.032981455
22,1.1,0.02600361,0.025114264
23,1.1500000000000001,0.034840547,0.03400883
24,1.2000000000000002,0.026902022,0.026009928
25,1.25,0.03590144,0.0350629
26,1.3,0.027829077,0.026934018
27,1.35,0.036989164,0.036143262
28,1.4000000000000001,0.028788406,0.027890475
29,1.4500000000000002,0.038103446,0.03724958
30,1.5,0.029781913,0.028881293
31,1.55,0.039243896,0.038381394
32,1.6,0.030810183,0.02990715
33,1.6500000000000001,0.04041009,0.03953824
34,1.7000000000000002,0.03187388,0.030968744
35,1.75,0.041601647,0.040719677
36,1.8,0.032972835,0.032065846
37,1.85,0.042818207,0.041925307
38,1.9000000000000001,0.034107186,0.033198606
39,1.9500000000000002,0.044059325,0.043154653
40,2.0,0.03527639,0.034366433
41,2.0500000000000003,0.04532463,0.044407316
42,2.1,0.03647982,0.035568636
43,2.15,0.04661373,0.04568284
44,2.2,0.03771681,0.03680444
45,2.25,0.04792622,0.046980806
46,2.3000000000000003,0.038986534,0.03807299
47,2.35,0.0492617,0.048300814
48,2.4000000000000004,0.040288128,0.039373297
49,2.45,0.050619822,0.04964246
50,2.5,0.041620716,0.040704414
51,2.5500000000000003,0.05200016,0.05100528
52,2.6,0.042983357,0.042065244
53,2.6500000000000004,0.05340238,0.052388977
54,2.7,0.044375062,0.043454763
55,2.75,0.05482613,0.05379314
56,2.8000000000000003,0.04579478,0.044871822
57,2.85,0.05627098,0.055217385
58,2.9000000000000004,0.047241554,0.046315335
59,2.95,0.05773668,0.056661397
60,3.0,0.048714325,0.047784176
61,3.0500000000000003,0.05922284,0.058124803
62,3.1,0.050212074,0.049277253
63,3.1500000000000004,0.060729157,0.05960728
64,3.2,0.051733796,0.050793428
65,3.25,0.062255263,0.061108533
66,3.3000000000000003,0.053278442,0.05233163
67,3.35,0.06380091,0.06262825
68,3.4000000000000004,0.05484496,0.053890742
69,3.45,0.06536576,0.0641661
70,3.5,0.05643231,0.0554696
71,3.5500000000000003,0.066949554,0.065721855
72,3.6,0.058039445,0.057067126
73,3.6500000000000004,0.068551995,0.06729525
74,3.7,0.059665278,0.058682226
75,3.75,0.07017282,0.06888602
76,3.8000000000000003,0.061308786,0.06031379
77,3.85,0.07181178,0.070493914
78,3.9000000000000004,0.06296894,0.06196072
79,3.95,0.07346861,0.07211873
80,4.0,0.064644665,0.06362196
81,4.05,0.07514308,0.07376027
82,4.1000000000000005,0.06633499,0.065296456
83,4.15,0.07683493,0.0754183
84,4.2,0.068038814,0.06698316
85,4.25,0.07854404,0.07709268
86,4.3,0.06975521,0.06868107
87,4.3500000000000005,0.08027009,0.078783184
88,4.4,0.07148309,0.07038906
89,4.45,0.08201295,0.0804897
90,4.5,0.07322145,0.07210617
91,4.55,0.08377243,0.082212046
92,4.6000000000000005,0.0749694,0.07383146
93,4.65,0.08554829,0.08395008
94,4.7,0.07672592,0.07556393
95,4.75,0.08734043,0.08570374
96,4.800000000000001,0.07849011,0.077302665
97,4.8500000000000005,0.089148626,0.08747285
98,4.9,0.080261,0.07904673
99,4.95,0.0909728,0.08925737
100,5.0,0.08203773,0.080795296
101,5.050000000000001,0.09281272,0.09105711
102,5.1000000000000005,0.08381938,0.08254742
103,5.15,0.094668284,0.092872076
104,5.2,0.085605174,0.08430236
105,5.25,0.09653944,0.0947022
106,5.300000000000001,0.087394215,0.08605919
107,5.3500000000000005,0.098425925,0.09654732
108,5.4,0.08918575,0.0878173
109,5.45,0.10032774,0.0984075
110,5.5,0.090978995,0.08957587
111,5.550000000000001,0.102244705,0.10028265
112,5.6000000000000005,0.09277323,0.09133417
113,5.65,0.10417669,0.1021727
114,5.7,0.09456771,0.09309163
115,5.75,0.10612373,0.10407769
116,5.800000000000001,0.09636183,0.09484758
117,5.8500000000000005,0.10808559,0.10599753
118,5.9,0.09815488,0.09660141
119,5.95,0.110062286,0.10793226
120,6.0,0.09994627,0.098352596
121,6.050000000000001,0.112053744,0.10988178
122,6.1000000000000005,0.1017354,0.100100555
123,6.15,0.11405978,0.11184621
124,6.2,0.103521824,0.10184489
125,6.25,0.11608048,0.113825515
