Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0-5,0.013709107432514429,0.0022583895806029103,0.02658458985388279,0.010681284591555595
5-6,0.013872718047350645,0.0031875445053288812,0.03204122558236122,0.010369651950895786
6-7,0.015540319308638573,0.0030598985688307856,0.03035668656229973,0.011390764266252518
7-8,0.023895480670034885,0.004048081996876521,0.03671664372086525,0.01763269491493702
8-9,0.043694381788372996,0.006063181322415801,0.06458228826522827,0.034174468368291855
9-10,0.07397171646356583,0.007874642059522471,0.10093165189027786,0.06157747656106949
10-11,0.1122614648193121,0.009503395068947429,0.1425185650587082,0.09604271501302719
11-12,0.15765681117773056,0.011271685296346066,0.19099952280521393,0.13533200323581696
12-13,0.2109207531809807,0.014147881016315568,0.2530208230018616,0.18115535378456116
13-14,0.2730602955818176,0.01883552056837497,0.33165809512138367,0.2328833043575287
14-15,0.3440472188591957,0.024824951225079002,0.42571672797203064,0.2890333831310272
