Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0-5,0.013709105188027024,0.0022583824012038494,0.02658449299633503,0.010681280866265297
5-6,0.013872715765610338,0.003187541990322613,0.032041165977716446,0.010369661264121532
6-7,0.01554031202569604,0.0030598948649569577,0.030356653034687042,0.01139076054096222
7-8,0.02389545872807503,0.004048074321864331,0.036716632544994354,0.017632652074098587
8-9,0.043694351874291895,0.006063176263668354,0.06458226591348648,0.03417445719242096
9-10,0.07397168736904859,0.007874638357782893,0.10093161463737488,0.061577457934617996
10-11,0.11226143911480904,0.009503391608811545,0.1425185352563858,0.09604267030954361
11-12,0.1576567931473255,0.011271682426463316,0.19099949300289154,0.13533197343349457
12-13,0.2109207409620285,0.014147879979684771,0.2530208230018616,0.18115532398223877
13-14,0.27306028857827186,0.018835516969810166,0.3316580653190613,0.23288331925868988
14-15,0.34404720783233644,0.024824948595375793,0.42571669816970825,0.2890333831310272
