Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0-5,0.014094507563859224,0.002080053959823349,0.022453442215919495,0.010517153888940811
5-6,0.014411212084814906,0.002762771211152073,0.024073466658592224,0.009827221743762493
6-7,0.016192885087803005,0.0027581716043288706,0.025937456637620926,0.011676939204335213
7-8,0.024667497891932726,0.0040842164177090435,0.03638966381549835,0.01757809706032276
8-9,0.04461027286946773,0.006498722875217221,0.06338243186473846,0.032760828733444214
9-10,0.07532894182950259,0.008778396152902851,0.10578491538763046,0.05931463837623596
10-11,0.11446471981704236,0.010674728251091137,0.15626466274261475,0.09388256818056107
11-12,0.16080331832170486,0.012365438223659589,0.2113731950521469,0.1367523968219757
12-13,0.2146080768108368,0.014173775633318305,0.2687951624393463,0.18678812682628632
13-14,0.2765945887565613,0.01648364466433321,0.3293776214122772,0.23958083987236023
14-15,0.34675707638263703,0.01963433810968732,0.39948412775993347,0.30195868015289307
