Mode,Stage,Step Range,Mean L2 Error,Max L2 Error,Min L2 Error
SEEN,Short (0-5),0-20,851.1342,2440.4292,134.27823
SEEN,Short (0-5),20-40,2545.2214,7325.9478,380.60294
SEEN,Short (0-5),40-60,7519.1724,21728.146,1116.1815
SEEN,Short (0-5),60-80,22285.475,64478.496,3339.713
SEEN,Short (0-5),80-91,54767.477,124133.57,10135.049
SEEN,Long (5-15),0-20,20281405000.0,63246820000.0,2083392600.0
SEEN,Long (5-15),20-40,67695220000.0,210915310000.0,6905632000.0
SEEN,Long (5-15),40-60,226777630000.0,705675850000.0,23003658000.0
SEEN,Long (5-15),60-80,762671300000.0,2370045200000.0,76994330000.0
SEEN,Long (5-15),80-100,2575991600000.0,7995502000000.0,258875770000.0
SEEN,Long (5-15),100-120,8741517000000.0,27108779000000.0,874204800000.0
SEEN,Long (5-15),120-140,29810118000000.0,92398600000000.0,2964634000000.0
SEEN,Long (5-15),140-160,102161160000000.0,316585430000000.0,10094414000000.0
SEEN,Long (5-15),160-180,351789660000000.0,1090053100000000.0,34509207000000.0
SEEN,Long (5-15),180-200,1216804500000000.0,3769836000000000.0,118460470000000.0
UNSEEN,Short (0-5),0-20,844.836,2381.8774,137.56258
UNSEEN,Short (0-5),20-40,2520.0308,7125.4585,391.05475
UNSEEN,Short (0-5),40-60,7436.341,21132.273,1145.9738
UNSEEN,Short (0-5),60-80,22027.443,62807.477,3419.9207
UNSEEN,Short (0-5),80-91,54109.637,121057.17,10341.008
UNSEEN,Long (5-15),0-20,19758633000.0,60015055000.0,2024050400.0
UNSEEN,Long (5-15),20-40,65965580000.0,200759020000.0,6719493000.0
UNSEEN,Long (5-15),40-60,221030530000.0,673665450000.0,22404600000.0
UNSEEN,Long (5-15),60-80,743454300000.0,2267457800000.0,75021380000.0
UNSEEN,Long (5-15),80-100,2511227800000.0,7657730600000.0,252283390000.0
UNSEEN,Long (5-15),100-120,8521331000000.0,25962730000000.0,852045000000.0
UNSEEN,Long (5-15),120-140,29055003000000.0,88413070000000.0,2890151800000.0
UNSEEN,Long (5-15),140-160,99552904000000.0,302524800000000.0,9846041000000.0
UNSEEN,Long (5-15),160-180,342732720000000.0,1040266850000000.0,33691580000000.0
UNSEEN,Long (5-15),180-200,1185236900000000.0,3594329300000000.0,115809140000000.0
