Segment,Mean_L2,Std_L2,Max_L2,Min_L2
0-5,0.014094509351998567,0.0020800555804158204,0.022453412413597107,0.010517153888940811
5-6,0.014411216620355844,0.002762774245158167,0.024073410779237747,0.009827202185988426
6-7,0.016192896720021964,0.002758180817833003,0.02593746967613697,0.011676916852593422
7-8,0.024667527228593826,0.004084230736700674,0.03638976439833641,0.017578070983290672
8-9,0.044610309898853305,0.006498733396151861,0.06338247656822205,0.032760828733444214
9-10,0.07532897744327784,0.00877840446313541,0.10578497499227524,0.059314653277397156
10-11,0.11446474954485893,0.010674736050281282,0.15626470744609833,0.09388257563114166
11-12,0.16080333828926086,0.012365442249043013,0.2113732397556305,0.1367523968219757
12-13,0.21460809096693992,0.01417377988004476,0.2687951922416687,0.18678812682628632
13-14,0.27659459635615347,0.016483647540985632,0.3293776214122772,0.23958083987236023
14-15,0.3467570880055428,0.019634341886824804,0.39948415756225586,0.30195868015289307
